"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_010000","01.00.00","Основные средства","asset_current","False","",""
"by_010100","01.01.00","Основные средства в организации","asset_current","False","",""
"by_020000","02.00.00","Амортизация основных средств","expense_depreciation","False","",""
"by_020100","02.01.00","Амортизация основных средств, учитываемых на счете 01","expense_depreciation","False","",""
"by_020200","02.02.00","Амортизация основных средств, учитываемых на счете 03","expense_depreciation","False","",""
"by_020201","02.02.01","Амортизация инвестиционной недвижимости","expense_depreciation","False","",""
"by_020202","02.02.02","Амортизация предметов финансовой аренды (лизинга)","expense_depreciation","False","",""
"by_030000","03.00.00","Доходные вложения в материальные ценности","asset_current","False","",""
"by_030100","03.01.00","Инвестиционная недвижимость","asset_current","False","",""
"by_030200","03.02.00","Предметы финансовой аренды (лизинга)","asset_current","False","",""
"by_030300","03.03.00","Прочие доходные вложения в материальные активы","asset_current","False","",""
"by_040000","04.00.00","Нематериальные активы","asset_current","False","",""
"by_040100","04.01.00","Нематериальные активы организации","asset_current","False","",""
"by_040200","04.02.00","Расходы на научно-исследовательские, опытно-конструкторские и технологические работы","asset_current","False","",""
"by_050000","05.00.00","Амортизация нематериальных активов","asset_current","False","",""
"by_060000","06.00.00","Долгосрочные финансовые вложения","asset_current","False","",""
"by_060100","06.01.00","Долгосрочные финансовые вложения в ценные бумаги","asset_current","False","",""
"by_060200","06.02.00","Предоставленные долгосрочные займы","asset_current","False","",""
"by_060300","06.03.00","Вклады по договору о совместной деятельности","asset_current","False","",""
"by_070000","07.00.00","Оборудование к установке и строительные материалы","asset_current","False","",""
"by_070100","07.01.00","Оборудование к установке на складе","asset_current","False","",""
"by_070200","07.02.00","Оборудование к установке, переданное в монтаж","asset_current","False","",""
"by_070300","07.03.00","Строительные материалы","asset_current","False","",""
"by_080000","08.00.00","Вложения в долгосрочные активы","asset_current","False","",""
"by_080100","08.01.00","Приобретение и создание основных средств","asset_current","False","",""
"by_080101","08.01.01","Приобретение объектов основных средств","asset_current","False","",""
"by_080102","08.01.02","Строительство объектов основных средств","asset_current","False","",""
"by_080200","08.02.00","Приобретение и создание инвестиционной недвижимости","asset_current","False","",""
"by_080201","08.02.01","Приобретение инвестиционной недвижимости","asset_current","False","",""
"by_080202","08.02.02","Создание инвестиционной недвижимости","asset_current","False","",""
"by_080300","08.03.00","Приобретение предметов финансовой аренды (лизинга)","asset_current","False","",""
"by_080400","08.04.00","Приобретение нематериальных активов","asset_current","False","",""
"by_080500","08.05.00","Приобретение и создание иных долгосрочных активов","asset_current","False","",""
"by_080501","08.05.01","Приобретение земельных участков","asset_current","False","",""
"by_080502","08.05.02","Приобретение объектов природопользования","asset_current","False","",""
"by_080503","08.05.03","Перевод молодняка животных в основное стадо","asset_current","False","",""
"by_080504","08.05.04","Приобретение взрослых животных","asset_current","False","",""
"by_090000","09.00.00","Отложенные налоговые активы","asset_current","False","",""
"by_100000","10.00.00","Материалы","asset_current","False","",""
"by_100100","10.01.00","Сырье и материалы","asset_current","False","",""
"by_100200","10.02.00","Покупные полуфабрикаты и комплектующие изделия","asset_current","False","",""
"by_100300","10.03.00","Топливо","asset_current","False","",""
"by_100400","10.04.00","Тара и тарные материалы","asset_current","False","",""
"by_100500","10.05.00","Запасные части","asset_current","False","",""
"by_100600","10.06.00","Прочие материалы","asset_current","False","",""
"by_100700","10.07.00","Материалы, переданные в переработку на сторону","asset_current","False","",""
"by_100800","10.08.00","Временные сооружения","asset_current","False","",""
"by_100900","10.09.00","Инвентарь и хозяйственные принадлежности","asset_current","False","",""
"by_100901","10.09.01","Инвентарь и хозяйственные принадлежности, инструменты на складе","asset_current","False","",""
"by_100902","10.09.02","Инвентарь и хозяйственные принадлежности, инструменты в эксплуатации","asset_current","False","",""
"by_101000","10.10.00","Специальная оснастка и специальная одежда на складе","asset_current","False","",""
"by_101100","10.11.00","Специальная оснастка и специальная одежда в эксплуатации","asset_current","False","",""
"by_101101","10.11.01","Специальная одежда в эксплуатации","asset_current","False","",""
"by_101102","10.11.02","Специальная оснастка в эксплуатации","asset_current","False","",""
"by_101200","10.12.00","Лом и отходы, содержащие драгоценные металлы","asset_current","False","",""
"by_110000","11.00.00","Животные на выращивании и откорме","asset_current","False","",""
"by_140000","14.00.00","Резервы под снижение стоимости запасов","asset_current","False","",""
