"id","sequence","name","description","invoice_label","amount","type_tax_use","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"sale_tax_template_vat20incl_by","9","Реализация в т.ч. НДС 20%","","в т. ч. НДС 20%","20.0","sale","tax_group_vat20","True","base","invoice",""
"","","","","","","","","","tax","invoice","by_680201"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","by_680201"
"sale_tax_template_vat10incl_by","10","Реализация в т.ч. НДС 10%","","в т. ч. НДС 10%","10.0","sale","tax_group_vat10","True","base","invoice",""
"","","","","","","","","","tax","invoice","by_680201"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","by_680201"
"sale_tax_template_vat25incl_by","11","Реализация в т.ч. НДС 25%","","в т .ч. НДС 25%","25.0","sale","tax_group_vat25","True","base","invoice",""
"","","","","","","","","","tax","invoice","by_680201"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","by_680201"
"sale_tax_template_vat0_by","12","Реализация НДС 0%","","НДС 0%","0.0","sale","tax_group_vat0","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"sale_tax_template_vat_free_by","13","Реализация освобождён от НДС","","Освобождён от НДС","0.0","sale","tax_group_vat_free","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"sale_tax_template_not_vat_by","14","Реализация Не облагается НДС","","Не облагается НДС","0.0","sale","tax_group_not_vat","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat20_by","19","Приобретение НДС 20%","","+ НДС 20%","20.0","purchase","tax_group_vat20","","base","invoice",""
"","","","","","","","","","tax","invoice","by_180400"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","by_180400"
"purchase_tax_template_vat10_by","20","Приобретение НДС 10%","","+ НДС 10%","10.0","purchase","tax_group_vat10","","base","invoice",""
"","","","","","","","","","tax","invoice","by_180400"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","by_180400"
"purchase_tax_template_vat25_by","21","Приобретение НДС 25%","","+ НДС 25%","25.0","purchase","tax_group_vat25","","base","invoice",""
"","","","","","","","","","tax","invoice","by_180400"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","by_180400"
"purchase_tax_template_vat0_by","22","Приобретение НДС 0%","","НДС 0%","0.0","purchase","tax_group_vat0","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat_free_by","23","Приобретение Освобождён от НДС","","Освобождён от НДС","0.0","purchase","tax_group_vat_free","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat_not_by","24","Приобретение Не облагается НДС","","Не облагается НДС","0.0","purchase","tax_group_not_vat","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
