"id","code_prefix_start","code_prefix_end","name","parent_id"
"ru_acc_group_000","000","","Забалансовые счета",
"ru_acc_group_000_003","003","003","Материалы, принятые в переработку","ru_acc_group_000"
"ru_acc_group_000_004","004","004","Товары, принятые на комиссию","ru_acc_group_000"
"ru_acc_group_00","0","0","Внеоборотные активы",
"ru_acc_group_00_01","01","01","Основные средства","ru_acc_group_00"
"ru_acc_group_00_02","02","02","Амортизация основных средств","ru_acc_group_00"
"ru_acc_group_00_03","03","03","Доходные вложения в материальные ценности","ru_acc_group_00"
"ru_acc_group_00_04","04","04","Нематериальные активы","ru_acc_group_00"
"ru_acc_group_00_08","08","08","Вложения во внеоборотные активы","ru_acc_group_00"
"ru_acc_group_10","1","1","Производственные запасы",
"ru_acc_group_10_10","10","10","Материалы","ru_acc_group_10"
"ru_acc_group_10_10_11","10.11","10.11","Специальная оснастка и специальная одежда в эксплуатации","ru_acc_group_10_10"
"ru_acc_group_10_14","14","14","Резервы под снижение стоимости материальных ценностей","ru_acc_group_10"
"ru_acc_group_10_15","15","15","Заготовление и приобретение материальных ценностей","ru_acc_group_10"
"ru_acc_group_10_16","16","16","Отклонение в стоимости материальных ценностей","ru_acc_group_10"
"ru_acc_group_19","19","19","НДС по приобретенным ценностям","ru_acc_group_10"
"ru_acc_group_20","2","3","Затраты на производство",
"ru_acc_group_20_20","20","20","Основное производство","ru_acc_group_20"
"ru_acc_group_40","4","4","Готовая продукция и товары",
"ru_acc_group_40_41","41","41","Товары","ru_acc_group_40"
"ru_acc_group_40_42","42","42","Торговая наценка","ru_acc_group_40"
"ru_acc_group_40_44","44","44","Расходы на продажу","ru_acc_group_40"
"ru_acc_group_40_45","45","45","Товары отгруженные","ru_acc_group_40"
"ru_acc_group_50","5","5","Денежные средства",
"ru_acc_group_50_50","50","50","Касса","ru_acc_group_50"
"ru_acc_group_50_51","51","51","Расчетные счета","ru_acc_group_50"
"ru_acc_group_50_52","52","52","Валютные счета","ru_acc_group_50"
"ru_acc_group_50_55","55","55","Специальные счета в банках","ru_acc_group_50"
"ru_acc_group_50_57","57","57","Переводы в пути","ru_acc_group_50"
"ru_acc_group_50_58","58","58","Финансовые вложения","ru_acc_group_50"
"ru_acc_group_50_58_01","58.01","58.01","Паи и акции","ru_acc_group_50_58"
"ru_acc_group_60","6","7","Расчеты",
"ru_acc_group_60_60","60","60","Расчеты с поставщиками и подрядчиками","ru_acc_group_60"
"ru_acc_group_60_62","62","62","Расчеты с покупателями и заказчиками","ru_acc_group_60"
"ru_acc_group_60_66","66","66","Расчеты по краткосрочным кредитам и займам","ru_acc_group_60"
"ru_acc_group_60_67","67","67","Расчеты по долгосрочным кредитам и займам","ru_acc_group_60"
"ru_acc_group_60_68","68","68","Расчеты по налогам и сборам","ru_acc_group_60"
"ru_acc_group_60_68_04","68.04","68.04","Налог на прибыль","ru_acc_group_60_68"
"ru_acc_group_60_69","69","69","Расчеты по социальному страхованию и обеспечению","ru_acc_group_60"
"ru_acc_group_60_69_02","69.02","69.02","Расчеты по пенсионному обеспечению","ru_acc_group_60_69"
"ru_acc_group_60_69_03","69.03","69.03","Расчеты по обязательному медицинскому страхованию","ru_acc_group_60_69"
"ru_acc_group_60_69_05","69.05","69.05","Добровольные взносы на накопительную часть трудовой пенсии","ru_acc_group_60_69"
"ru_acc_group_60_69_06","69.06","69.06","Расчеты по страховым взносам, уплачиваемым исходя из стоимости страхового года","ru_acc_group_60_69"
"ru_acc_group_60_69_13","69.13","69.13","Расчеты по средствам ФСС для страхователей, применяющих специальные режимы налогообложения","ru_acc_group_60_69"
"ru_acc_group_60_71","71","71","Расчеты с подотчетными лицами","ru_acc_group_60"
"ru_acc_group_60_73","73","73","Расчеты с персоналом по прочим операциям","ru_acc_group_60"
"ru_acc_group_60_75","75","75","Расчеты с учредителями","ru_acc_group_60"
"ru_acc_group_60_76","76","76","Расчеты с разными дебиторами и кредиторами","ru_acc_group_60"
"ru_acc_group_60_76_01","76.01","76.01","Расчеты по имущественному, личному и добровольному страхованию","ru_acc_group_60_76"
"ru_acc_group_60_79","79","79","Внутрихозяйственные расчеты","ru_acc_group_60"
"ru_acc_group_80","8","8","Капитал",
"ru_acc_group_80_80","80","80","Уставный капитал","ru_acc_group_80"
"ru_acc_group_80_81","81","81","Собственные акции (доли)","ru_acc_group_80"
"ru_acc_group_80_82","82","82","Резервный капитал","ru_acc_group_80"
"ru_acc_group_80_83","83","83","Добавочный капитал","ru_acc_group_80"
"ru_acc_group_80_83_01","83.01","83.01","Прирост стоимости внеоборотных активов по переоценке","ru_acc_group_80_83"
"ru_acc_group_80_84","84","84","Нераспределенная прибыль (непокрытый убыток)","ru_acc_group_80"
"ru_acc_group_80_86","86","86","Целевое финансирование","ru_acc_group_80"
"ru_acc_group_90","9","9","Финансовые результаты",
"ru_acc_group_90_90","90","90","Продажи","ru_acc_group_90"
"ru_acc_group_90_90_01","90.01","90.01","Выручка","ru_acc_group_90_90"
"ru_acc_group_90_90_02","90.02","90.02","Себестоимость продаж","ru_acc_group_90_90"
"ru_acc_group_90_90_07","90.07","90.07","Расходы на продажу","ru_acc_group_90_90"
"ru_acc_group_90_90_08","90.08","90.08","Управленческие расходы","ru_acc_group_90_90"
"ru_acc_group_90_91","91","91","Прочие доходы и расходы","ru_acc_group_90"
"ru_acc_group_90_97","97","97","Расходы будущих периодов","ru_acc_group_90"
"ru_acc_group_90_98","98","98","Доходы будущих периодов","ru_acc_group_90"
"ru_acc_group_90_99","99","99","Прибыли и убытки","ru_acc_group_90"
"ru_acc_group_90_99_01","99.01","99.01","Прибыли и убытки от хозяйственной деятельности (за исключением налога на прибыль)","ru_acc_group_90_99"
"ru_acc_group_90_99_02","99.02","99.02","Налог на прибыль","ru_acc_group_90_99"
