"id","sequence","name","description","price_include","amount","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"tax_vat_0_sale","1","НДС 0%","Продажа с НДС 0%","","0.0","sale","tax_group_vat_0","True","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_0_purchase","1","НДС 0%","Покупка с НДС 0%","","0.0","purchase","tax_group_vat_0","True","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_10_sale_included","1","НДС 10/110%","Продажа c НДС 10/110%","True","10.0","sale","tax_group_vat_10","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_90_03"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_10_sale","1","НДС 10%","Продажа с НДС 10%","","10.0","sale","tax_group_vat_10","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_90_03"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_10_purchase_included","1","НДС 10/110%","Покупка c НДС 10/110","True","10.0","purchase","tax_group_vat_10","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_68_02"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_10_purchase","1","НДС 10%","Покупка с НДС 10%","","10.0","purchase","tax_group_vat_10","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_68_02"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_18_sale_included","1","НДС 18/118%","Продажа c НДС 18/118%","True","18.0","sale","tax_group_vat_18","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_90_03"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_18_sale","1","НДС 18%","Продажа с НДС 18%","","18.0","sale","tax_group_vat_18","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_90_03"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_18_purchase_included","1","НДС 18/118%","Покупка c НДС 18/118","True","18.0","purchase","tax_group_vat_18","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_68_02"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_18_purchase","1","НДС 18%","Покупка с НДС 18%","","18.0","purchase","tax_group_vat_18","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_68_02"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_20_sale_included","1","НДС 20/120%","Продажа c НДС 20/120%","True","20.0","sale","tax_group_vat_20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_90_03"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_20_sale","1","НДС 20%","Продажа с НДС 20%","","20.0","sale","tax_group_vat_20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_90_03"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_20_purchase_included","1","НДС 20/120%","Покупка c НДС 20/120","True","20.0","purchase","tax_group_vat_20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_68_02"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_vat_20_purchase","1","НДС 20%","Покупка с НДС 20%","","20.0","purchase","tax_group_vat_20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ru_acc_68_02"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_not_vat_sale","1","Без НДС","Продажа без НДС","","0.0","sale","tax_group_not_vat","True","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_not_vat_purchase","1","Без НДС","Покупка без НДС","","0.0","purchase","tax_group_not_vat","True","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
